customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
1583-UPFFR,4/11/2021,Refferal,4/11/2023,Standard,Monthly,8/11/2024,Payment failed repeatedly,15.33,1090,67,1,ramesh,India,Rajasthan,Male,2/27/1987,7/26/2024,Y,3,5
1601-ROUYY,7/8/2022,Organic,7/8/2024,Standard,Monthly,,,16.12,768,44,0,kiran,India,Chhattisgarh,Male,4/28/1995,,,,
1613-LHDFX,8/9/2020,Paid,8/9/2022,Premium,Monthly,4/15/2025,Found better offer elsewhere,20.52,689,76,1,kavita,India,Uttar Pradesh,Female,12/24/1986,3/18/2025,Y,5,4
1618-DRRWI,12/15/2021,Organic,12/15/2023,Standard,Monthly,1/1/2025,Family plan cancelled,17.09,953,90,1,madan,India,Bihar,Male,10/30/1983,12/24/2024,N,27,1
1620-SECUN,5/25/2021,Paid,5/25/2022,Basic,Annual,,,8.29,406,35,0,preeti,India,Goa,Female,12/23/1981,,,,
1624-GHION,10/19/2021,Paid,10/19/2024,Standard,Monthly,,,13.92,720,40,0,Priya,India,Nagaland,Male,1/26/1983,,,,
1658-XDBDP,11/14/2022,Refferal,11/14/2024,Basic,Monthly,,,9.73,569,43,0,varsha,India,Tripura,Male,10/30/1980,,,,
1661-SACQW,12/18/2021,Refferal,12/18/2022,Basic,Annual,11/5/2024,No longer needed,8.81,380,65,1,sunita,India,Nagaland,Female,8/21/1993,10/5/2024,Y,18,2
1665-NROYO,11/28/2023,Paid,11/28/2026,Basic,Annual,3/17/2024,Payment failed repeatedly,7.15,199,72,1,preeti,India,Nagaland,Female,11/25/1996,2/21/2024,Y,15,5
1669-JGPJV,5/30/2020,Paid,5/30/2023,Basic,Monthly,,,9.23,993,51,0,reema,India,Tamil Nadu,Female,4/26/1993,,,,
1689-ELUOW,5/24/2021,Paid,5/24/2025,Basic,Annual,9/16/2024,Billing issues,8.35,356,97,1,sundar,India,Meghalaya,Male,8/16/1975,9/7/2024,N,17,4
1689-SMUCQ,4/19/2021,Organic,4/19/2023,Standard,Monthly,,,15.9,783,33,0,lata,India,Manipur,Female,3/25/2006,,,,
1691-MUUUY,8/14/2020,Refferal,8/14/2021,Standard,Annual,,,13.98,1073,21,0,maya,India,Tamil Nadu,Male,3/1/1973,7/29/2025,Y,73,4
1702-LYGEQ,9/21/2020,Paid,9/21/2023,Basic,Annual,,,6.69,496,22,0,shobha,India,Tamil Nadu,Male,11/19/1999,,,,
1715-KSECH,6/14/2023,Refferal,6/14/2026,Standard,Monthly,,,12.6,384,7,0,indira,India,Tamil Nadu,Male,8/2/2002,,,,
1746-HNEMG,3/29/2023,Organic,3/29/2025,Premium,Annual,,,24.24,1224,21,0,sundar,India,Kerala,Female,10/2/2000,7/2/2024,N,28,3
1788-HEMUO,4/20/2022,Paid,4/20/2024,Standard,Annual,,,18.64,905,10,0,mina,India,Manipur,Female,8/28/1975,12/5/2022,N,71,1
1790-UTVYJ,4/26/2022,Organic,4/26/2024,Basic,Monthly,,,9.17,556,20,0,ashok,India,Uttarakhand,Male,3/18/1961,,,,
1798-CFYZT,3/25/2023,Refferal,3/25/2026,Standard,Monthly,,,15.05,897,54,0,Bal,India,Assam,Female,1/5/1994,,,,
1810-LUTTO,3/24/2023,Organic,3/24/2024,Standard,Annual,,,15.99,672,5,0,bhupendra,India,Odisha,Male,6/22/1987,4/17/2024,Y,29,4
1811-CYWIG,2/6/2020,Organic,2/6/2022,Premium,Monthly,,,21.91,2136,78,0,ramkumar,India,Karnataka,Female,9/5/1995,,,,
1815-XISZX,4/5/2023,Refferal,4/5/2024,Premium,Monthly,11/8/2024,Poor streaming quality,23.24,980,88,1,kusum,India,Karnataka,Male,4/28/1979,10/2/2024,Y,20,2
1847-RCBXV,11/8/2020,Organic,11/8/2022,Premium,Monthly,,,27.5,1683,18,0,manisha,India,Odisha,Female,12/16/2006,,,,
1849-EKJZG,5/19/2021,Refferal,5/19/2023,Premium,Annual,,,21.92,1402,7,0,varsha,India,Goa,Female,7/28/1969,,,,
1876-CYUYI,2/25/2022,Organic,2/25/2026,Standard,Annual,,,13.38,1038,45,0,keshav,India,Tamil Nadu,Female,9/6/1976,,,,
1889-AVKXN,8/1/2022,Paid,8/1/2024,Premium,Annual,,,24.88,1325,38,0,raman,Nepal,Kathmandu,Female,8/15/1993,,,,
1903-ZNZUD,8/17/2023,Organic,8/17/2024,Basic,Monthly,,,5.99,267,53,0,geeta,India,Chhattisgarh,Male,12/21/1982,,,,
1924-OBXJX,4/13/2020,Paid,4/13/2022,Premium,Annual,,,22.96,1578,5,0,aarti,India,Tamil Nadu,Male,4/13/1960,,,,
1924-RSUQG,6/30/2021,Organic,6/30/2024,Basic,Monthly,,,6.12,446,32,0,dinesh,India,Manipur,Male,5/11/1987,,,,
1932-CBPUW,11/24/2020,Paid,11/24/2024,Basic,Annual,1/23/2023,Network coverage issues,7.62,316,64,1,dilip,India,Uttarakhand,Male,8/23/1993,1/1/2023,N,32,1
1957-AWWHG,1/28/2021,Paid,1/28/2024,Standard,Monthly,9/27/2025,Found better offer elsewhere,17.03,1229,71,1,suresh,India,Telangana,Female,3/23/1967,9/15/2025,N,10,4
1969-IDQNW,1/12/2022,Organic,1/12/2025,Basic,Monthly,,,7.13,303,47,0,yogesh,India,Meghalaya,Male,10/18/1976,,,,
1988-DRRKJ,1/28/2020,Organic,1/28/2023,Basic,Monthly,,,7.12,658,55,0,kavya,India,Tamil Nadu,Female,6/28/1967,,,,
1988-VKATD,1/13/2021,Organic,1/13/2022,Basic,Monthly,,,8.38,526,41,0,sunaina,India,Punjab,Female,10/29/2002,,,,
1994-MEIKN,9/7/2022,Paid,9/7/2023,Standard,Monthly,,,12.78,729,33,0,bhupendra,India,Goa,Male,6/30/1984,,,,
2000-OLSCF,3/17/2022,Refferal,3/17/2025,Basic,Annual,,,7.75,504,39,0,vinod,India,Uttar Pradesh,Male,5/17/1967,,,,
2007-WWCPM,10/15/2021,Paid,10/15/2025,Basic,Annual,,,7.95,447,17,0,sneha,India,Maharashtra,Male,1/12/1969,,,,
2015-TJPGT,6/19/2020,Organic,6/19/2021,Standard,Annual,,,16.52,1009,15,0,sarita,India,Uttarakhand,Male,7/1/1989,3/17/2026,N,72,4
2048-KMYYS,2/26/2022,Organic,2/26/2025,Standard,Monthly,,,14.67,883,40,0,Maya,India,Uttar Pradesh,Male,2/12/1984,,,,
2070-BDIBQ,3/14/2022,Refferal,3/14/2024,Basic,Annual,,,7.22,506,64,0,neha,India,Meghalaya,Female,1/26/2005,,,,
2120-NTRTZ,7/27/2022,Paid,7/27/2024,Basic,Annual,,,9.17,493,20,0,sunita,India,Manipur,Male,5/5/1986,,,,
2138-LAPUK,2/6/2020,Refferal,2/6/2022,Basic,Monthly,,,6.87,551,25,0,asha,India,Bihar,Female,10/16/2003,7/7/2023,N,23,3
2142-AVYAU,1/8/2021,Organic,1/8/2023,Premium,Annual,,,27.78,2275,44,0,niranjan,India,West Bengal,Male,1/17/1964,,,,
2160-XHRUN,9/9/2022,Paid,9/9/2023,Basic,Monthly,1/19/2023,Moved to different city,8.25,342,69,1,amit,India,Uttarakhand,Female,9/11/1964,12/6/2022,Y,15,4
2161-WPHDH,2/10/2022,Refferal,2/10/2023,Standard,Monthly,,,12.75,943,53,0,shiva,India,Telangana,Female,9/3/2006,,,,
2168-UZPPB,11/1/2020,Organic,11/1/2023,Standard,Monthly,8/17/2023,Found better offer elsewhere,18.13,793,72,1,Ritu,India,Assam,Female,6/15/1999,7/12/2023,N,1,1
2174-IAUFX,6/3/2020,Organic,6/3/2021,Basic,Annual,,,9.58,846,25,0,seema,India,Chhattisgarh,Female,3/11/1996,,,,
2185-YFAFB,4/5/2023,Paid,4/5/2025,Premium,Annual,,,23.42,1036,17,0,usha,India,Chhattisgarh,Male,5/6/2007,,,,
2194-JZOQS,5/22/2021,Paid,5/22/2023,Standard,Monthly,,,15.53,1349,14,0,pushpa,India,Karnataka,Male,12/16/1980,1/9/2024,N,51,1
2198-QHHCW,10/18/2022,Refferal,10/18/2024,Standard,Monthly,,,13.74,770,14,0,ramkumar,India,Tripura,Male,12/22/1989,11/27/2023,Y,40,5
2200-MCCAZ,3/7/2022,Paid,3/7/2023,Basic,Monthly,,,6.77,479,33,0,geeta,India,Uttar Pradesh,Female,11/18/1971,,,,
2224-ADRZU,12/21/2022,Paid,12/21/2025,Basic,Annual,,,6.49,284,29,0,veena,India,Odisha,Female,1/30/1958,,,,
2228-NXVKB,10/8/2021,Refferal,10/8/2023,Standard,Monthly,,,17.72,1016,49,0,govind,India,Tripura,Male,1/30/1965,,,,
2232-OHRRD,10/3/2022,Paid,10/3/2026,Standard,Annual,,,17.68,790,5,0,ravi,India,Uttarakhand,Male,9/9/1964,,,,
2239-GAFMT,7/5/2023,Organic,7/5/2026,Standard,Annual,,,14.03,672,25,0,kishore,India,Bihar,Male,5/6/1986,9/11/2023,N,59,4
2249-MJPDG,2/14/2023,Paid,2/14/2025,Standard,Monthly,,,16.74,1048,3,0,brij,India,Telangana,Male,4/2/1958,,,,
2262-KWUDH,8/26/2023,Organic,8/26/2024,Standard,Annual,,,13,651,9,0,arun,India,Manipur,Female,1/31/2005,,,,
2299-UJYRL,3/17/2021,Paid,3/17/2022,Standard,Monthly,2/17/2023,Technical issues,18.51,1040,84,1,dev,India,Uttar Pradesh,Male,11/19/1982,2/1/2023,N,34,3
2299-VNVIM,9/23/2023,Paid,9/23/2025,Premium,Monthly,,,23.96,640,6,0,kavya,India,Jharkhand,Female,2/17/2007,,,,
2306-LHONP,6/9/2022,Paid,6/9/2024,Basic,Annual,,,9.25,349,52,0,lata,India,Delhi,Male,6/15/2002,,,,
2307-RQFSW,6/22/2020,Refferal,6/22/2022,Standard,Monthly,,,13.24,1094,47,0,sushma,India,Odisha,Male,9/22/1961,,,,
2328-TANUD,2/24/2023,Paid,2/24/2025,Premium,Annual,,,22.89,971,47,0,gopal,India,Jharkhand,Female,6/9/1964,,,,
2334-BVQIP,6/9/2023,Paid,6/9/2027,Basic,Annual,,,6.42,185,20,0,amit,India,Delhi,Female,10/30/1966,2/20/2024,Y,30,5
2343-NNDAF,7/20/2020,Paid,7/20/2021,Standard,Annual,,,12.44,1193,11,0,ravi,India,Madhya Pradesh,Female,5/21/1970,,,,
2359-KQOIY,12/3/2022,Organic,12/3/2024,Standard,Monthly,3/8/2023,Moved to different city,18.43,899,84,1,umesh,India,Manipur,Male,3/20/1987,2/15/2023,N,17,1
2365-ICSGH,3/1/2023,Paid,3/1/2024,Basic,Monthly,,,7.91,477,61,0,vijay,India,Rajasthan,Female,5/29/1995,,,,
2376-YKDKN,3/17/2023,Paid,3/17/2025,Basic,Monthly,,,7.24,234,53,0,lata,India,Haryana,Female,4/5/1979,,,,
2387-NVWHH,4/30/2021,Refferal,4/30/2022,Standard,Monthly,9/14/2023,Found better offer elsewhere,16.94,718,68,1,umesh,India,Bihar,Male,7/7/2006,8/12/2023,Y,8,1
2388-GQSON,9/8/2023,Paid,9/8/2025,Premium,Monthly,,,24.29,871,13,0,rajendra,India,Assam,Female,11/2/1962,,,,
2399-XREEB,3/6/2021,Refferal,3/6/2022,Basic,Monthly,,,6.88,429,51,0,kalpana,India,Gujarat,Male,8/15/2003,,,,
2400-KBTVU,6/19/2020,Refferal,6/19/2023,Basic,Monthly,,,8,444,11,0,anita,India,Himachal Pradesh,Male,10/11/1979,,,,
2413-ADOLI,10/9/2023,Paid,10/9/2026,Basic,Monthly,,,6.46,261,12,0,rajendra,India,Uttarakhand,Female,5/25/2000,,,,
2419-PFQHU,8/23/2022,Paid,8/23/2023,Premium,Monthly,,,22,1158,20,0,ramkumar,India,Bihar,Male,1/21/1968,,,,
2457-ZHDLK,1/27/2021,Paid,1/27/2024,Premium,Annual,,,21.35,1089,45,0,devendra,India,Meghalaya,Male,1/14/1970,,,,
2466-GGSWF,3/17/2020,Paid,3/17/2021,Basic,Annual,,,9.71,633,7,0,kamala,India,Nagaland,Female,3/6/1960,,,,
2468-DNKHA,8/25/2020,Paid,8/25/2023,Basic,Annual,,,8.56,612,42,0,rajendra,India,Gujarat,Male,4/11/2005,,,,
2471-CVOYJ,12/6/2023,Refferal,12/6/2024,Standard,Annual,,,16.05,383,10,0,deepa,India,Jharkhand,Female,10/14/1986,,,,
2520-HGQNS,10/27/2023,Paid,10/27/2026,Basic,Annual,,,6.45,305,32,0,durga,India,Karnataka,Female,1/7/1966,,,,
2600-DERTB,5/1/2020,Paid,5/1/2022,Premium,Annual,,,20.13,2091,46,0,manju,India,Gujarat,Male,6/5/1979,,,,
2601-WCVQU,12/14/2023,Organic,12/14/2024,Basic,Annual,,,9.47,258,15,0,niranjan,India,Goa,Female,11/7/1981,,,,
2621-PGWZN,10/2/2022,Refferal,10/2/2024,Basic,Monthly,,,8.4,328,53,0,tarun,India,Manipur,Male,9/18/1963,12/4/2022,N,85,5
2624-YKAXL,11/4/2021,Paid,11/4/2023,Standard,Annual,,,13.26,1094,7,0,ritu,India,Odisha,Male,10/27/2005,12/21/2023,Y,77,3
2630-RFPWJ,2/17/2022,Paid,2/17/2023,Basic,Annual,,,6.01,304,52,0,dinesh,India,Delhi,Male,12/5/1993,,,,
2638-JBJNU,4/19/2023,Paid,4/19/2026,Basic,Monthly,,,8.45,269,12,0,vinod,India,Tripura,Male,12/17/1970,,,,
2666-ZFZLE,11/20/2020,Refferal,11/20/2023,Premium,Annual,,,23.03,2407,49,0,bal,India,Chhattisgarh,Male,1/23/1984,,,,
2696-CADDZ,11/10/2020,Organic,11/10/2022,Standard,Annual,,,18.8,1925,36,0,vinod,India,Tamil Nadu,Male,2/19/1970,,,,
2698-NCWWQ,5/27/2020,Organic,5/27/2021,Standard,Monthly,,,17,1350,2,0,bal,India,Maharashtra,Male,4/11/2005,4/14/2025,N,51,2
2700-DEXWI,5/10/2023,Organic,5/10/2025,Basic,Monthly,,,9.93,406,30,0,ramkumar,India,Goa,Female,8/12/1996,,,,
2702-KGQVF,1/12/2021,Refferal,1/12/2024,Premium,Monthly,,,23.42,2201,43,0,manju,India,Punjab,Female,4/7/1992,,,,
2714-EVSBU,5/28/2022,Paid,5/28/2023,Standard,Monthly,,,15.38,1167,14,0,sarla,India,Karnataka,Male,5/9/1973,,,,
2731-OQCFZ,2/21/2021,Refferal,2/21/2025,Standard,Annual,,,18.2,1862,5,0,subhash,India,Assam,Male,1/25/2002,,,,
2743-LXAVL,12/13/2022,Paid,12/13/2024,Basic,Monthly,,,7.66,458,47,0,suresh,India,Delhi,Male,1/12/2001,12/9/2025,N,49,3
2770-KMTZT,6/10/2020,Paid,6/10/2023,Standard,Monthly,,,18.88,1975,20,0,keshav,India,Karnataka,Male,12/22/2001,8/10/2024,N,35,2
2780-GNIOQ,6/9/2021,Paid,6/9/2023,Standard,Monthly,,,13.76,950,27,0,rahul,India,Uttarakhand,Female,6/11/1992,,,,
2792-EYZKI,11/1/2020,Organic,11/1/2024,Standard,Annual,,,18.64,1768,56,0,bimla,India,Rajasthan,Female,5/5/1995,,,,
2812-ODVZQ,4/17/2022,Refferal,4/17/2024,Standard,Annual,,,14,986,46,0,harish,India,Maharashtra,Female,1/13/2001,6/26/2025,N,44,2
2816-KFRGT,7/25/2023,Paid,7/25/2024,Basic,Annual,,,7.75,420,20,0,dilip,India,Assam,Female,2/17/1991,,,,
2825-EUUAE,1/12/2022,Paid,1/12/2024,Standard,Annual,,,18.97,1505,55,0,nisha,India,Bihar,Female,12/1/1987,,,,
2832-SXSWM,11/9/2020,Paid,11/9/2021,Standard,Monthly,,,14.59,1188,10,0,renu,India,Karnataka,Male,9/30/1994,11/7/2024,N,39,2
2865-DBIVP,2/15/2022,Organic,2/15/2025,Standard,Monthly,,,13.7,837,36,0,mohan,India,Punjab,Male,6/3/1991,,,,
2865-HRSHD,6/11/2021,Organic,6/11/2022,Standard,Annual,,,12.12,1084,48,0,nisha,India,Nagaland,Male,10/22/1979,,,,
2869-FVTMD,1/30/2022,Organic,1/30/2025,Basic,Monthly,,,8.13,334,36,0,ramesh,India,Manipur,Male,7/15/1999,,,,
2907-RMJXJ,12/27/2023,Organic,12/27/2025,Premium,Monthly,2/13/2025,Moved to different city,24.46,427,60,1,maya,India,Goa,Female,2/6/1997,1/6/2025,N,5,1
2912-BDEBY,9/11/2021,Refferal,9/11/2024,Standard,Monthly,,,12.56,834,44,0,geeta,India,Meghalaya,Male,12/2/1987,,,,
2917-QAWUM,12/4/2022,Paid,12/4/2024,Standard,Annual,,,13.09,536,48,0,kishore,India,Goa,Female,7/1/1962,2/24/2026,Y,80,3
2933-YPCRV,1/7/2021,Refferal,1/7/2024,Premium,Monthly,3/11/2024,Payment failed repeatedly,21.83,864,96,1,tejendra,India,Uttar Pradesh,Male,12/11/1976,3/3/2024,N,33,1
2954-OMJQB,1/31/2022,Paid,1/31/2024,Premium,Monthly,,,20.3,898,31,0,mina,India,Punjab,Female,10/2/1962,,,,
2994-RQNKS,4/17/2021,Refferal,4/17/2024,Basic,Annual,,,9.04,844,32,0,rangadevi,India,Maharashtra,Male,8/31/1982,,,,
2996-KHEGN,8/15/2023,Organic,8/15/2025,Premium,Monthly,,,25.71,1384,10,0,babita,Nepal,Kathmandu,Female,5/16/1972,,,,
3022-GLPCE,6/23/2023,Refferal,6/23/2024,Basic,Annual,,,9.73,558,4,0,umesh,India,Maharashtra,Female,10/31/1970,,,,
3029-LJOGM,3/30/2021,Organic,3/30/2023,Premium,Annual,,,23.05,2104,7,0,anju,India,Tamil Nadu,Male,5/30/1999,,,,
3049-FVCLK,1/20/2023,Paid,1/20/2024,Premium,Annual,,,25.25,1286,34,0,durga,India,West Bengal,Male,1/30/1997,,,,
3050-DAQIU,10/2/2021,Refferal,10/2/2024,Basic,Annual,,,7.86,492,10,0,hari,India,West Bengal,Female,9/6/1996,,,,
3053-OMZEK,4/11/2020,Paid,4/11/2023,Basic,Monthly,3/16/2023,Poor streaming quality,7.57,525,74,1,neha,India,Kerala,Female,12/23/2000,3/11/2023,Y,14,1
3086-SAPIK,12/13/2021,Refferal,12/13/2022,Premium,Monthly,2/21/2023,Found better offer elsewhere,24.87,1101,96,1,subhash,India,Goa,Female,8/6/1961,1/13/2023,Y,18,5
3121-NHIER,11/8/2022,Organic,11/8/2025,Standard,Monthly,,,14.62,795,10,0,kavita,India,Himachal Pradesh,Male,6/2/1976,,,,
3136-EIZKN,9/8/2020,Refferal,9/8/2022,Basic,Annual,,,7.16,463,53,0,lalita,India,Goa,Female,12/13/1965,,,,
3149-KTXAZ,9/6/2023,Organic,9/6/2026,Standard,Monthly,,,18.18,793,36,0,usha,India,Uttarakhand,Male,2/18/1965,,,,
3150-VVYMA,6/7/2020,Paid,6/7/2022,Basic,Annual,,,7.5,622,20,0,subhash,India,Meghalaya,Male,4/22/1968,,,,
3171-ZSCWY,7/26/2021,Refferal,7/26/2023,Standard,Annual,,,15.55,1174,32,0,sarita,India,Haryana,Male,4/6/1974,7/31/2025,Y,61,3
3174-XLVMN,5/8/2021,Refferal,5/8/2023,Standard,Monthly,,,16.43,1418,44,0,hari,India,Rajasthan,Female,8/14/1966,,,,
3178-WTQAO,3/24/2021,Refferal,3/24/2023,Standard,Annual,,,14.88,757,29,0,raghav,India,Madhya Pradesh,Female,6/19/1989,,,,
3224-GITWQ,1/23/2022,Paid,1/23/2023,Premium,Monthly,,,21.22,1493,31,0,sapna,India,Manipur,Female,7/8/1982,,,,
3235-UPGAY,6/8/2023,Organic,6/8/2026,Standard,Monthly,,,14.61,698,40,0,bhupendra,India,Bihar,Male,2/18/1975,,,,
3237-XGETP,8/31/2022,Refferal,8/31/2023,Premium,Monthly,8/27/2023,Billing issues,25.05,845,87,1,hari,India,Assam,Male,1/14/1981,,,,
3241-OWQWD,6/19/2020,Paid,6/19/2022,Premium,Monthly,1/6/2025,Slow internet speed,23.48,1107,65,1,pankaj,India,Assam,Female,7/20/1968,,,,
3250-FOKOC,7/4/2023,Paid,7/4/2027,Basic,Annual,,,6.05,334,4,0,sunaina,India,Haryana,Male,10/4/1974,,,,
3282-VRFON,3/1/2020,Organic,3/1/2024,Standard,Annual,,,15.46,1298,44,0,indira,India,Uttar Pradesh,Female,7/26/1998,,,,
3285-JNABY,7/26/2023,Paid,7/26/2025,Standard,Monthly,11/30/2023,Moved to different city,14.3,523,74,1,amit,India,Assam,Male,7/9/1960,10/28/2023,Y,25,5
3298-RZZIK,6/30/2023,Paid,6/30/2024,Standard,Monthly,,,13.11,439,39,0,kanta,India,Kerala,Male,10/1/1975,,,,
3304-HHJIS,11/29/2020,Organic,11/29/2024,Basic,Annual,,,8.4,711,52,0,yogesh,India,Rajasthan,Female,6/9/2003,,,,
3324-JTYBW,10/16/2022,Organic,10/16/2023,Basic,Monthly,,,9.96,392,46,0,sarita,India,Odisha,Female,1/5/1971,,,,
3329-CCIHV,3/10/2023,Paid,3/10/2026,Basic,Monthly,,,8.85,530,7,0,deepa,India,West Bengal,Male,2/22/1984,1/13/2025,Y,59,2
3339-XZGHL,4/10/2021,Paid,4/10/2022,Standard,Monthly,,,17.03,925,44,0,niranjan,India,Uttar Pradesh,Male,11/17/1971,,,,
3405-ROCUM,5/24/2021,Paid,5/24/2023,Standard,Annual,,,14.6,1301,3,0,deepa,India,Meghalaya,Female,3/5/1980,,,,
3419-SFFLX,11/18/2022,Refferal,11/18/2024,Premium,Monthly,,,24,1459,51,0,dilip,India,Meghalaya,Male,12/3/1993,,,,
3432-RMZBW,4/2/2021,Paid,4/2/2025,Standard,Annual,,,16.07,1035,18,0,arjun,India,Tripura,Male,11/26/1974,5/4/2025,N,23,2
3453-OIGTK,9/29/2020,Paid,9/29/2023,Standard,Annual,,,18.84,2011,26,0,sarita,India,Nagaland,Male,4/3/2000,,,,
3468-MQXUR,1/4/2021,Refferal,1/4/2023,Standard,Monthly,,,14.8,1351,48,0,raghav,India,Uttar Pradesh,Male,8/18/2000,,,,
3473-HOCRN,5/12/2023,Paid,5/12/2024,Standard,Annual,7/14/2024,Slow internet speed,12.7,480,90,1,preeti,India,Kerala,Female,7/12/1961,6/5/2024,N,23,3
3506-RPFDN,4/30/2021,Refferal,4/30/2023,Standard,Monthly,,,13.85,960,51,0,manoj,India,Goa,Male,10/27/1971,,,,
3508-EHNMN,2/2/2021,Organic,2/2/2022,Basic,Annual,,,9.98,971,37,0,renu,India,Bihar,Female,9/4/1992,,,,
3514-SAFQC,4/19/2023,Paid,4/19/2026,Basic,Monthly,,,8.25,426,40,0,sarita,India,Uttar Pradesh,Female,7/21/1996,4/12/2026,N,75,2
3517-ZCMJN,7/3/2021,Refferal,7/3/2023,Standard,Annual,,,12.24,983,25,0,sarita,India,Rajasthan,Female,2/20/1971,,,,
3520-FLKAW,7/3/2023,Organic,7/3/2026,Premium,Annual,,,26.88,1362,52,0,satish,India,Madhya Pradesh,Male,5/5/1998,,,,
3520-KERHK,6/19/2021,Paid,6/19/2022,Premium,Monthly,,,27.92,2255,43,0,neha,India,Telangana,Female,6/15/1971,,,,
3532-PBBXU,11/30/2023,Paid,11/30/2026,Premium,Annual,,,25.63,856,16,0,raghav,India,Gujarat,Female,8/12/2005,,,,
3539-DWHRZ,3/12/2022,Organic,3/12/2025,Basic,Monthly,,,7.54,436,27,0,geeta,India,Chhattisgarh,Female,5/19/1968,,,,
3542-FRJDA,2/6/2023,Refferal,2/6/2027,Premium,Annual,,,20.3,888,32,0,shalini,India,Tamil Nadu,Male,2/8/1983,,,,
3569-KBNGF,5/16/2020,Organic,5/16/2022,Premium,Annual,,,20.26,1789,49,0,chandan,India,Bihar,Male,1/23/2007,,,,
3576-KIYUY,11/23/2020,Paid,11/23/2023,Basic,Monthly,,,6.88,580,24,0,babita,India,Meghalaya,Male,5/5/2007,1/30/2022,Y,43,3
3581-PKWIY,2/11/2020,Paid,2/11/2022,Basic,Monthly,,,6,746,11,0,reema,India,Karnataka,Male,8/11/1998,,,,
3587-TRPLI,3/26/2022,Paid,3/26/2025,Standard,Annual,,,15.36,1144,27,0,umesh,India,Gujarat,Female,5/19/1967,,,,
3600-JVSMY,2/2/2021,Organic,2/2/2022,Basic,Annual,,,6.64,589,2,0,varsha,India,Uttarakhand,Male,8/14/1961,,,,
3608-RYSMW,5/2/2022,Refferal,5/2/2025,Premium,Annual,,,25.82,1678,3,0,dinesh,India,Madhya Pradesh,Female,2/19/2005,,,,
3621-JJXPL,10/1/2021,Refferal,10/1/2023,Premium,Annual,,,24.77,2106,43,0,mahesh,India,Maharashtra,Female,5/6/1978,,,,
3666-BUOEO,5/13/2021,Paid,5/13/2022,Premium,Monthly,,,26.07,2001,27,0,kamla,India,Assam,Male,6/7/1977,,,,
3681-KBPEN,11/12/2023,Paid,11/12/2024,Standard,Monthly,12/5/2024,Slow internet speed,18.35,750,89,1,radha,India,Himachal Pradesh,Female,7/18/1966,,,,
3700-UQAOZ,2/5/2022,Organic,2/5/2023,Basic,Monthly,,,6.33,399,12,0,shobha,India,Uttar Pradesh,Female,4/20/1975,,,,
3748-GVKCY,7/16/2023,Refferal,7/16/2024,Premium,Monthly,12/2/2024,No longer needed,27.12,970,96,1,priya,India,Rajasthan,Male,8/18/1976,10/22/2024,N,32,3
3752-TOTMP,3/11/2020,Refferal,3/11/2022,Premium,Annual,,,26.78,2997,27,0,renu,India,Punjab,Male,12/23/1975,,,,
3753-CPUKN,5/29/2022,Refferal,5/29/2023,Premium,Monthly,2/26/2025,Slow internet speed,22.06,1426,93,1,jyoti,India,Madhya Pradesh,Male,12/2/1971,2/21/2025,Y,35,2
3757-TNLJS,2/26/2021,Organic,2/26/2025,Premium,Annual,,,25.48,1524,43,0,kavita,India,Kerala,Male,5/22/2001,,,,
3764-IWKIV,2/22/2022,Refferal,2/22/2023,Standard,Annual,,,12.25,707,24,0,Preeti,India,Punjab,Male,11/15/1975,10/12/2024,Y,58,3
3767-ESGUE,3/6/2020,Refferal,3/6/2023,Standard,Monthly,,,15.41,1681,47,0,kanta,India,Meghalaya,Male,5/26/2003,,,,
3780-RSLZP,1/8/2022,Organic,1/8/2024,Basic,Annual,,,6.94,532,28,0,lalita,India,Chhattisgarh,Male,8/17/1996,,,,
3782-JYAVH,9/27/2020,Paid,9/27/2022,Basic,Annual,,,8.58,766,38,0,kalpana,India,Jharkhand,Male,12/3/1973,,,,
3782-SHSTG,2/6/2022,Paid,2/6/2025,Standard,Annual,,,15.28,735,38,0,ritu,India,Rajasthan,Male,4/27/1989,,,,
3784-UFVMJ,7/19/2022,Refferal,7/19/2024,Premium,Annual,,,24.1,1727,4,0,veena,India,Telangana,Female,9/12/1983,,,,
3795-BLJYT,10/19/2023,Paid,10/19/2025,Basic,Monthly,,,6.28,215,40,0,durga,India,Tripura,Female,2/9/2006,,,,
3813-AKWTG,11/29/2023,Organic,11/29/2026,Premium,Annual,,,21.72,915,13,0,mahesh,India,Rajasthan,Male,8/18/1984,,,,
3823-PMBTM,3/31/2021,Refferal,3/31/2024,Standard,Monthly,,,18.34,1486,47,0,manoj,India,Nagaland,Male,10/24/1978,,,,
3847-WIUSO,12/9/2022,Organic,12/9/2024,Basic,Monthly,8/7/2024,Not enough content,6.49,142,84,1,sunita,India,Delhi,Female,3/13/1991,7/17/2024,N,27,4
3860-FUAHG,10/5/2022,Paid,10/5/2025,Premium,Monthly,,,22.48,1326,21,0,dilip,India,Assam,Female,5/4/1983,,,,
3876-YUNJN,2/14/2022,Organic,2/14/2023,Standard,Annual,,,17.98,899,19,0,brij,India,Kerala,Female,2/9/1981,,,,
